"market","Operator_Code","count","total_waste"
"Bay:FL","BAY COUNTY SOLID WASTE DIVISION",1,833.2
"Bayfield:WI","DRUMMOND SANITARY DISTRICT",1,12.5
"Baylor:TX","CITY OF SEYMOUR",1,2.81
"Beadle:SD","CITY OF HURON",1,63
"Bear Lake:ID","BEAR LAKE COUNTY",1,15
"Beaufort:SC","MELROSE HOMEOWNER'S ASSOCIATION",1,12.5
"Beaver:UT","BEAVER COUNTY SPECIAL SERVICE DISTRICT #5",1,30.01
"Beaverhead:MT","BEAVERHEAD COUNTY",1,31.38
"Becker:MN","BECKER COUNTY",2,106.49
"Becker:MN","MINNKOTA RECYCLING",1,12.6
"Beckham:OK","CITY OF ELK CITY",1,95.85
"Beckham:OK","CITY OF SAYRE",2,30.28
"Bedford City:VA","BEDFORD COUNTY",2,242.18
"Bedford City:VA","CITY OF BEDFORD",1,13.8
"Bedford:PA","AIGH",1,122.09
"Bell:KY","BELL COUNTY",1,54.27
"Bell:TX","CITY OF KILLEEN",1,321.78
"Bell:TX","WM",1,1282.63
"Belmont:OH","APEX ENVIRONMENTAL",1,132.81
"Beltrami:MN","WM",3,95.89
"Ben Hill:GA","AIGH",2,99.5
"Bend-Prineville, OR CSA","CROOK COUNTY",2,107.92
"Bend-Prineville, OR CSA","DESCHUTES COUNTY",5,711.59
"Benewah:ID","BENEWAH COUNTY",1,63
"Bennett:SD","CITY OF MARTIN",1,0
"Bennington:VT","CWST",5,377
"Bennington:VT","TOWN OF POWNAL",1,3
"Bennington:VT","TOWN OF READSBORO",1,12.5
"Bennington:VT","TOWN OF RUPERT",1,12.5
"Bennington:VT","TOWN OF SHAFTSBURY",1,12.5
"Bennington:VT","TOWN OF STAMFORD",1,0
"Bennington:VT","TOWN OF WINHALL",1,12.5
"Benton:AR","CITY OF ROGERS",1,0
"Benton:AR","CITY OF SILOAM SPRINGS",1,22
"Benton:AR","INLAND WASTE SOLUTIONS",1,0
"Benton:AR","WM",1,112
"Benton:TN","WM",1,1935.02
"Benzie:MI","AMERICAN WASTE",1,12.5
"Berkeley:SC","BERKELEY COUNTY WATER AND SANITATION",1,1281.76
"Berks:PA","WM",1,380
"Berkshire:MA","BERDSHIRE CLEANWAY",1,5.52
"Berkshire:MA","CITY OF NORTH ADAMS",1,45.26
"Berkshire:MA","LENOX VALLEY WASTE TRANSFER FACILITY",1,58.01
"Berkshire:MA","THE MASTER GARBOLOGIST",2,7.72
"Berkshire:MA","TOWN OF ADAMS",1,12.5
"Berkshire:MA","TOWN OF ALFORD",1,4.48
"Berkshire:MA","TOWN OF BECKET",1,7.38
"Berkshire:MA","TOWN OF CHESHIRE",1,6.41
"Berkshire:MA","TOWN OF EGREMONT",1,4.31
"Berkshire:MA","TOWN OF FLORIDA",1,6.47
"Berkshire:MA","TOWN OF GREAT BARRINGTON",1,2.62
"Berkshire:MA","TOWN OF HANCOCK",1,1.21
"Berkshire:MA","TOWN OF HINSDALE",1,3.68
"Berkshire:MA","TOWN OF LANESBOROUGH",1,12.5
"Berkshire:MA","TOWN OF NEW MARLBOROUGH",1,4.94
"Berkshire:MA","TOWN OF PERU",1,7.42
"Berkshire:MA","TOWN OF SAVOY",1,1.39
"Berkshire:MA","TOWN OF STOCKBRIDGE",1,5.89
"Berkshire:MA","TOWN OF TYRINGHAM",1,1.51
"Berkshire:MA","TOWN OF WASHINGTON",1,2.43
"Berkshire:MA","TOWN OF WEST STOCKBRIDGE",1,5.25
"Berkshire:MA","TOWN OF WILLIAMSTOWN",1,8.23
"Berkshire:MA","TOWN OF WINDSOR",1,1.16
"Berrien:GA","SOUTHERN RECYCLING INDUSTRIES",1,750
"Bertie:NC","REPUB",1,1890.92
"Bethel:AK","CITY OF BETHEL",1,12.5
"Bethel:AK","CITY OF MEKORYUK",1,0
"Bethel:AK","CITY OF NAPASKIAK",1,12.5
"Big Horn:MT","CITY OF HARDIN",1,74.7
"Big Horn:WY","BIG HORN COUNTY SOLID WASTE DISPOSAL DISTRICT",2,141
"Big Horn:WY","MOUNTAIN MAN SCRAP AND SALVAGE",1,1
"Birmingham-Hoover-Talladega, AL CSA","ADVANCED TECHNOLOGY RECYCLING (ATR)",1,12.5
"Birmingham-Hoover-Talladega, AL CSA","AIGH",3,2364.63
"Birmingham-Hoover-Talladega, AL CSA","BIG SKY ENVIRONMENTAL",1,153.81
"Birmingham-Hoover-Talladega, AL CSA","BIRMINGHAM RECYCLING&RECOVERY USA",1,235
"Birmingham-Hoover-Talladega, AL CSA","BLOUNT COUNTY",1,85
"Birmingham-Hoover-Talladega, AL CSA","BRADFORD TRANSFER STATION",1,0
"Birmingham-Hoover-Talladega, AL CSA","CITY OF BIRMINGHAM",1,150.99
"Birmingham-Hoover-Talladega, AL CSA","CULLMAN ENVIRONMENTAL",1,195.88
"Birmingham-Hoover-Talladega, AL CSA","MIC",1,0
"Birmingham-Hoover-Talladega, AL CSA","REPUB",2,923.17
"Birmingham-Hoover-Talladega, AL CSA","SANTK",3,1771.58
"Birmingham-Hoover-Talladega, AL CSA","SHELBY COUNTY",1,532.87
"Birmingham-Hoover-Talladega, AL CSA","SOFT DRINK ASSOCIATION OF ALABAMA",1,15.78
"Birmingham-Hoover-Talladega, AL CSA","WALKER COUNTY",1,5.39
"Black Hawk:IA","BLACK HAWK COUNTY SOLID WASTE MANAGEMENT",1,614.85
"Black Hawk:IA","CITY OF CEDAR FALLS",1,61.37
"Black Hawk:IA","REPUB",1,300
"Bladen:NC","BLADEN COUNTY",1,67.2
"Blaine:ID","CLEAR CREEK DISPOSAL",1,0
"Blaine:ID","SOUTHERN IDAHO REGIONAL SOLID WASTE",2,75.5
"Blaine:OK","BLUE CREEK COMPOST FACILITY",1,0
"Blanco:TX","WCNX",1,92.71
"Bleckley:GA","BLECKLEY COUNTY",1,63
"Bloomington-Bedford, IN CSA","LAWRENCE COUNTY SOLID WASTE MANAGEMENT DISTRICT",1,116.15
"Bloomington-Bedford, IN CSA","REPUB",2,483.45
"Bloomington-Pontiac, IL CSA","ADVANCED TECHNOLOGY RECYCLING (ATR)",1,12.5
"Bloomington-Pontiac, IL CSA","HENSON DISPOSAL",1,300
